"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.0104190848578258,-0.127694343595067,0.0990160435321741,1800,0.701111111111111
"2",51,-0.00939836996103612,-0.127232759361505,0.0978952412842773,1800,0.756666666666667
"3",101,0.0306095449202657,-0.0898520968185039,0.150352050048241,1448.66379014439,0.441111111111111
"4",151,-0.00417401080121345,-0.0512191072848509,0.0342096263193525,2318.77760179406,0.623333333333333
"5",201,-0.00452205375717707,-0.240068616447388,0.208384495403152,2146.12382404154,0.847777777777778
"6",251,0.00166197499145824,-0.149195203332056,0.182494066961226,1800,0.977777777777778
"7",301,0.00205506755696585,-0.118180076780845,0.0991660404288268,1506.82435622282,0.97
"8",351,-0.0158017623741285,-0.0638777184485662,0.039883350742457,1609.22777322064,0.325555555555556
"9",401,-0.0141400551268227,-0.0531679631531006,0.0175859233786468,1800,0.216666666666667
"10",451,-0.0145845628927112,-0.123502804271993,0.0753856902738335,2558.1174699765,0.55
"11",501,0.00261668502059517,-0.0693457814722933,0.0683267811255064,1800,0.921111111111111
"12",551,0.00584809716819562,-0.0605906356800006,0.0692168593232054,1430.34942893136,0.762222222222222
"13",601,0.0163154702897984,-0.0808404980634805,0.127505323122023,1800,0.613333333333333
"14",651,-0.0104563438809396,-0.0808268423425034,0.0543318630516296,1800.00000000001,0.664444444444444
"15",701,-0.00755529213717447,-0.0456454874729388,0.0295801352840499,1800,0.517777777777778
"16",751,0.00473187987298693,-0.0204716859589098,0.0258126268236083,1800,0.525555555555556
"17",801,-0.00897267543686374,-0.114517873182194,0.0948076524946373,1800,0.795555555555556
"18",851,0.00266937451498608,-0.056109277807991,0.059899748681346,1800,0.886666666666667
"19",901,0.00402884171106249,-0.129269004995876,0.120683623565128,1800,0.942222222222222
"20",951,-0.0169136661029762,-0.0972847473303773,0.078329049909371,1800,0.462222222222222
"21",1001,0.00730688951129367,-0.122422950789769,0.155684646771988,1800,0.873333333333333
"22",1051,0.0170008267840696,-0.0575458631792571,0.0862918494385667,1800,0.546666666666667
"23",1101,-0.0214324113096136,-0.0882805343280779,0.03996287866903,1800,0.36
"24",1151,0.0151299974422755,-0.0461262885382894,0.0666866994561133,1800,0.401111111111111
"25",1201,0.0344165894906507,-0.057544525276171,0.113422120037285,1800,0.321111111111111
"26",1251,-0.0334304832521574,-0.0987239996466087,0.0279921462424682,1800,0.205555555555556
"27",1301,-0.0163860592748628,-0.138647304724145,0.076679410340148,1647.49846589227,0.634444444444444
"28",1351,0.0104251690594667,-0.113545370117208,0.139532153436448,1648.31541171471,0.782222222222222
"29",1401,0.00950800782487786,-0.0264069506665692,0.0546476012968924,1800,0.543333333333333
"30",1451,-0.0662448068549829,-0.19647342211465,0.0591117230360396,1800,0.177777777777778
"31",1501,-0.000961486370685868,-0.0724273208470549,0.0729650425055297,1608.17771870178,0.957777777777778
"32",1551,-0.0275555634910715,-0.160037607492995,0.0893934701452963,1574.59551476425,0.415555555555556
"33",1601,-0.000714626461981871,-0.0556775426521199,0.0498520422261208,1800,0.924444444444444
