"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.275223735041796,1,-2.44315217642291,0.00534847119445182
"EggMass",1,1,0.543607991705924,0,0.0132630687462659,0.00514823047581203
"nTreatment",1,1,0.51589818700727,1,0.146949434721384,0.00262663883993467
"PercDev",1,1,0.295916249618421,1,0.806212742107504,0.00660401183508191
"Specieschlorocyanus",1,1,0.795868738698876,0,0.00400810083072306,0.00205841420076989
"Speciescristatellus",1,1,0.42533609303009,1,-0.37827222911882,0.00216785812876676
"Speciescybotes",1,1,0.276138054402194,1,0.612377187102108,0.00195356575599392
"Speciesdistichus",1,1,0.702849860663306,0,0.00718461270619159,0.00202021072269208
"Speciesequestris",1,1,0.410697927751303,1,1.82679392348881,0.0119696332822516
"Speciessagrei",1,1,0.533958109130588,1,-0.114249338358189,0.00238837752943008
"nTreatment:Specieschlorocyanus",1,1,0.213095950172242,1,-0.237505799688582,0.00382518500910391
"nTreatment:Speciescristatellus",1,1,0.782486419737022,1,0.165198925138262,0.00366779908488656
"nTreatment:Speciescybotes",1,1,0.512199973557807,1,0.207600507309908,0.00354225308848984
"nTreatment:Speciesdistichus",1,1,0.106844359070939,1,0.10091556597301,0.00369248686933473
"nTreatment:Speciesequestris",1,1,0.423600691044048,1,-0.797315709537116,0.0037212120866781
"nTreatment:Speciessagrei",1,1,0.146866656754546,1,-0.038593067903557,0.00357427994794313
"(Intercept).Cage.1",1,1,0.50990901788168,0,-0.00648900293503395,0.00231254731009481
"(Intercept).Cage.10",1,1,0.734009487588808,0,0.00942127678757618,0.00190725939740429
"(Intercept).Cage.11",1,1,0.835561560653604,1,0.0474946067438138,0.00216191389948032
"(Intercept).Cage.12",1,1,0.603408332536141,0,0.00488315224486029,0.00211760754041795
"(Intercept).Cage.13",1,1,0.613622400833121,0,-0.00929663819991114,0.00200096912922337
"(Intercept).Cage.14",1,1,0.442474853017742,0,0.0163917495139813,0.00191371616914829
"(Intercept).Cage.15",1,1,0.913234887920309,1,-0.032251089103054,0.00189136467083561
"(Intercept).Cage.16",1,1,0.995638032700471,1,0.0223141297867414,0.00207981377028708
"(Intercept).Cage.17",1,1,0.740219778911185,1,-0.0578746940597073,0.00206015913864931
"(Intercept).Cage.18",1,1,0.742006881045391,0,-0.00457143796024702,0.00209782706198448
"(Intercept).Cage.19",1,1,0.511217394090565,1,0.0352135056746983,0.00239747418857865
"(Intercept).Cage.2",1,1,0.140332546432445,1,0.0538520296878844,0.00191099159997862
"(Intercept).Cage.20",1,1,0.228304285503956,1,-0.0232161740320179,0.00204511612708798
"(Intercept).Cage.21",1,1,0.85335074665787,1,-0.0257514317299723,0.00242309453199081
"(Intercept).Cage.22",1,1,0.261452178148732,1,-0.141398316600821,0.00223876828981703
"(Intercept).Cage.23",1,1,0.584999038136633,1,-0.0881465859653414,0.00211742055276082
"(Intercept).Cage.24",1,1,0.137041399615704,1,0.124684064603349,0.00217193604489849
"(Intercept).Cage.25",1,1,0.12641270649064,1,0.0390759610221403,0.00232405947258994
"(Intercept).Cage.26",1,1,0.180956310618819,1,0.0305060060337731,0.00220672553943769
"(Intercept).Cage.27",1,1,0.622714459435669,1,0.0677468235510124,0.00219629627831338
"(Intercept).Cage.28",1,1,0.551042704936735,0,-0.0164839961689703,0.00205135375949055
"(Intercept).Cage.29",1,1,0.336954990650895,1,0.0530408459193675,0.00190580153974688
"(Intercept).Cage.3",1,1,0.413857242800569,1,-0.0534915653852424,0.00199491802103116
"(Intercept).Cage.30",1,1,0.313600759277325,1,-0.0447077917571809,0.00212656419524307
"(Intercept).Cage.31",1,1,0.190232668216897,1,0.0346940722718316,0.00228836878474556
"(Intercept).Cage.32",1,1,0.0650154806808887,0,0.00191305578313857,0.00213030358584321
"(Intercept).Cage.33",1,1,0.300344427805202,1,0.0474750303041883,0.00198490445753618
"(Intercept).Cage.34",1,1,0.381317831116218,1,-0.0225386611660118,0.00189632529523229
"(Intercept).Cage.35",1,1,0.304846255416285,1,0.0515890595847905,0.00208448173755116
"(Intercept).Cage.36",1,1,0.962605071538169,1,0.0239997662932898,0.00226548730230792
"(Intercept).Cage.37",1,1,0.380945019592097,0,-0.0170674719311303,0.00192398286444219
"(Intercept).Cage.38",1,1,0.0754688457107682,1,-0.128527955267644,0.00215638632278797
"(Intercept).Cage.4",1,1,0.714056178602798,0,0.0210435018751225,0.00230357916196197
"(Intercept).Cage.40",1,2001,0.0506227825460297,0,0.00647265404300469,0.00325977443339731
"(Intercept).Cage.42",1,1,0.268213000919117,1,0.0511894476808313,0.00213136080912823
"(Intercept).Cage.43",1,1,0.468972131342393,0,-0.00567293807722263,0.00212801171564842
"(Intercept).Cage.44",1,1,0.754659234443973,1,-0.0367149916696322,0.00214750411110778
"(Intercept).Cage.45",1,1,0.249938915701029,1,-0.0469305384502058,0.00207146726215108
"(Intercept).Cage.46",1,1,0.190450468649321,1,-0.0422029942588521,0.00221514262237551
"(Intercept).Cage.47",1,1,0.617415449695257,0,0.00991032300647493,0.00228277628763597
"(Intercept).Cage.48",1,1,0.397642289849666,0,-0.0185920112544184,0.0022605707113702
"(Intercept).Cage.49",1,1,0.0537053482239329,0,0.00109270007135719,0.00197569779112113
"(Intercept).Cage.50",1,1,0.914169173413499,1,0.0555797284219699,0.00220732708487764
"(Intercept).Cage.51",1,1,0.228504361060045,0,-0.0152276301385139,0.00223699951539418
"(Intercept).Cage.52",1,1,0.432540448980932,1,0.0460393748855284,0.00240627255207829
"(Intercept).Cage.57",1,1,0.55573810066061,0,0.00158659824030913,0.001967227156621
"(Intercept).Cage.58",1,1,0.131195383214703,0,0.00497850017901029,0.00202058870256477
"(Intercept).Cage.59",1,1,0.179648215812714,0,0.0170165028190431,0.00197110226243349
"(Intercept).Cage.6",1,501,0.0844433110292839,1,-0.04653315118849,0.00224174883411703
"(Intercept).Cage.60",1,1,0.135596398585682,1,0.027139459629239,0.00215154510254034
"(Intercept).Cage.61",1,1,0.484344627607506,0,0.0177405893026822,0.00208236415147642
"(Intercept).Cage.62",1,1,0.832781587871192,1,-0.0338690715575639,0.00189892758229805
"(Intercept).Cage.63",1,1,0.572461937211457,0,0.006521816018631,0.00198448946977534
"(Intercept).Cage.64",1,1,0.824727140101077,1,-0.067549944454144,0.0024090705850412
"(Intercept).Cage.65",1,1,0.269451331361979,0,0.0134222115297229,0.00210112560687604
"(Intercept).Cage.66",1,1,0.590769475551495,1,-0.0288521615017545,0.00223694232101732
"(Intercept).Cage.67",1,1,0.940868991501177,1,0.0415388201309461,0.00209834400756708
"(Intercept).Cage.68",1,1,0.346353276661356,1,0.0519724350634644,0.00212500937822935
"(Intercept).Cage.69",1,1,0.289285804234956,1,-0.0591960968243521,0.00206055532573625
"(Intercept).Cage.7",1,1,0.975709471307933,1,-0.023351277861311,0.00203207493231804
"(Intercept).Cage.70",1,1,0.838576542119164,1,-0.0332523134666956,0.00214135511809914
"(Intercept).Cage.71",1,1,0.225445484870043,1,0.0388759211866562,0.00219021939296401
"(Intercept).Cage.72",1,501,0.15389292438555,0,0.0199241297112881,0.00222006464561188
"(Intercept).Cage.73",1,1,0.683563999510204,0,0.0176663929586941,0.00229949748599643
"(Intercept).Cage.74",1,1,0.0875714894738548,1,0.0474077121775128,0.00232277613574782
"(Intercept).Cage.75",1,1,0.105698018430166,1,-0.0731388448194605,0.00246321983933979
"(Intercept).Cage.76",1,1,0.235816881509379,1,-0.0427617715562349,0.00222546577228447
"(Intercept).Cage.77",1,1,0.208359058828534,1,0.0419619734725722,0.00221854509680116
"(Intercept).Cage.8",1,1,0.882260354608356,1,-0.0695460378478981,0.0020962870708891
"(Intercept).Cage.9",1,1,0.845215283402583,1,0.111494967739957,0.00223595733015353
"nTreatment.Cage.1",1,1,0.807678686835807,1,0.0848277667674715,0.00398741028118193
"nTreatment.Cage.10",1,1,0.768418620861418,0,-0.024804045825272,0.00289625262991657
"nTreatment.Cage.11",1,1,0.489516109680327,0,-0.00513956811444137,0.00322950403656321
"nTreatment.Cage.12",1,1,0.608395842499634,1,-0.0636609880602472,0.00316284452855286
"nTreatment.Cage.13",1,1,0.791409979993881,0,-0.000935590978651024,0.00306079554393564
"nTreatment.Cage.14",1,1,0.275437019270106,0,-0.0262414186735498,0.00313805529278769
"nTreatment.Cage.15",1,1,0.194881347517317,1,0.0311761726538044,0.00299718770617084
"nTreatment.Cage.16",1,1,0.941939673529551,0,-0.0314049091371647,0.00344708856747918
"nTreatment.Cage.17",1,1,0.75350792846976,0,0.0182590779897444,0.00316505307856278
"nTreatment.Cage.18",1,1501,0.0687543776754366,0,-0.00628978466927717,0.00418224543390622
"nTreatment.Cage.19",1,1,0.693307058575442,1,0.0476099213061161,0.00346854775149123
"nTreatment.Cage.2",1,1,0.184421196526605,0,0.0219972938046338,0.00303246393444847
"nTreatment.Cage.20",1,1,0.833703626618302,0,0.0302918869678553,0.00322242173583986
"nTreatment.Cage.21",1,1,0.335848826862399,0,0.0155802985693347,0.00380207541384105
"nTreatment.Cage.22",1,1501,0.0548584851920924,1,-0.160731375335677,0.00440189084313822
"nTreatment.Cage.23",1,1501,0.12877450543882,1,-0.0771542443871696,0.00396918725240753
"nTreatment.Cage.24",0,NA,0.00163880756957691,NA,NA,NA
"nTreatment.Cage.25",1,1,0.905112284191347,0,0.0110256068140906,0.00353905861445828
"nTreatment.Cage.26",1,1,0.991390895661663,0,-0.0109822290894046,0.00341009626010911
"nTreatment.Cage.27",1,1,0.113808294868262,1,0.0694639898566609,0.00346069002035386
"nTreatment.Cage.28",1,1,0.183775640802867,0,-0.0205314568871037,0.00318872077986205
"nTreatment.Cage.29",1,1,0.66315187436812,0,0.0140114704174687,0.0030356424957056
"nTreatment.Cage.3",1,1,0.485328650998954,0,-0.0192321815206892,0.00304596283770906
"nTreatment.Cage.30",1,1,0.49803152599553,0,0.00567374899316794,0.00330044475470219
"nTreatment.Cage.31",1,1,0.438339227268527,1,0.0496120120239413,0.00339891687189721
"nTreatment.Cage.32",1,2001,0.168351339476729,1,0.0736872812117808,0.0045987343430861
"nTreatment.Cage.33",1,1,0.0847097409130304,0,0.0241096533451647,0.00313399135264789
"nTreatment.Cage.34",1,1,0.886692023824529,1,-0.0280517647231716,0.00270741718968467
