"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,0.00909143881618042,-0.151891671865087,0.257462785404641,2157.28097155037,0.705555555555555
"2",51,0.0233182040276287,-0.214811103037164,0.235023486398859,1879.76948952935,0.576666666666667
"3",101,0.00251919378133522,-0.282465750089614,0.247370474680793,1937.78860813956,0.921111111111111
"4",151,0.0256159205813084,-0.140629674104275,0.168157791136764,1826.91474705799,0.41
"5",201,0.00866121557076329,-0.0776684964512242,0.0867459756263997,2391.32962029132,0.535555555555556
"6",251,-0.0065766577347461,-0.45014733509106,0.380996201682137,1705.49327387826,0.981111111111111
"7",301,0.0329866245850241,-0.30961038073292,0.371523789239291,1789.06675297056,0.537777777777778
"8",351,0.0227337126697032,-0.206607903630356,0.223745999213861,2169.66278727925,0.544444444444445
"9",401,0.0138295021898118,-0.151758505497128,0.240183992675156,3113.77264072127,0.615555555555556
"10",451,0.00699040450769563,-0.217801401176985,0.198234681913164,2277.34544480864,0.842222222222222
"11",501,-0.0123683488048824,-0.408218154509086,0.555913613782195,1682.6089879357,0.926666666666667
"12",551,0.0281061074236669,-0.288184479271877,0.343001492230542,2295.54589718317,0.59
"13",601,0.0216472023638056,-0.177130708761979,0.16235168404819,1600.39172726209,0.524444444444444
"14",651,0.0088752307376726,-0.0599420439029927,0.0915512868978112,1798.03147429442,0.448888888888889
"15",701,0.00561912744584659,-0.163047812617151,0.241406386037852,1520.18025289416,0.832222222222222
"16",751,-0.00931142198421613,-0.334316597989528,0.350722683069762,1800,0.953333333333333
"17",801,-0.00746894528751892,-0.443458255380392,0.339676872114069,1611.36244156231,0.934444444444444
"18",851,-0.0267822295066495,-0.363989724690327,0.301308780391992,1892.17689243831,0.688888888888889
"19",901,0.00413795217672179,-0.696707752807924,0.482850960514043,1800,0.893333333333333
"20",951,0.00867347095173891,-0.159083617210854,0.208307221051655,1968.61899677639,0.694444444444444
"21",1001,0.00436744451621015,-0.12914988292323,0.182070150069194,2492.97266853932,0.841111111111111
"22",1051,0.019712953084135,-0.195865405199584,0.307414041144511,1706.1763391089,0.582222222222222
"23",1101,-0.0142625377845816,-0.336946812050883,0.262136330915382,1929.23293490743,0.798888888888889
"24",1151,0.0116274106238563,-0.269087753400527,0.353917884509428,1800,0.811111111111111
"25",1201,0.0165841460866775,-0.230305626124391,0.216009075476904,4202.82709708373,0.636666666666667
"26",1251,0.00746806389280459,-0.217504250904312,0.248722109801747,1885.96273111067,0.778888888888889
"27",1301,-0.0117440395750202,-0.170616372110089,0.0881013315665768,1971.16151228424,0.631111111111111
