"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,0.0127118151576724,0.211165894786973,-0.127694343595067,0.0990160435321741,-0.0861788960464764,0.139038619978237,-0.127640084581799,0.10578859897214,1.39661544743484e-11,0.074477179408725,0.0148499611366058,0.0305762225769166
"2",51,-0.0194812926783925,0.169953752490983,-0.127232759361505,0.0978952412842773,-0.0723124939540867,0.141914377600187,-0.108661155521986,0.102379714997369,6.34098043094687e-11,0.0640028824886319,0.0257561754494189,0.0518401539297678
"3",101,0.0451973071299108,0.24537632537249,-0.0898520968185039,0.150352050048241,-0.141026382130804,0.0993190855369903,-0.091167060440057,0.154072935241857,1.33231264280361e-09,0.0781793438933022,0.0217576800647171,0.0441708217842669
"4",151,0.0893348761892412,0.1644412434689,-0.0512191072848509,0.0342096263193525,-0.0245794498951,0.0612542293165461,-0.0497571234263887,0.036147457694824,9.27442374211079e-10,0.0115521764806537,0.00124789756097314,0.00252776544247717
"5",201,-0.165308606243343,0.24690994892444,-0.240068616447388,0.208384495403152,-0.23043963566306,0.239105936387205,-0.27370333300496,0.187911251448895,1.00769923928424e-07,0.287221821696272,0.0168395429077526,0.0341105295900214
"6",251,-0.174450666781922,0.106536478084308,-0.149195203332056,0.182494066961226,-0.16535392300284,0.15524293287308,-0.145437315008166,0.192826965649147,1.64174802344024e-09,0.166562232405908,0.0344078029450746,0.0696968393325947
"7",301,-0.0735980141616892,0.100548540474847,-0.118180076780845,0.0991660404288268,-0.107456624027691,0.103488396809553,-0.104424928533263,0.102671317959903,4.334858454735e-09,0.0637739165592579,0.0195663454347216,0.0393425091829431
"8",351,0.0836608570207318,0.171404620225076,-0.0638777184485662,0.039883350742457,-0.0337740056129405,0.0701873969956068,-0.0596996218810091,0.0397044058190659,6.12977262861196e-10,0.0145198163572824,0.0036297183529011,0.00721296914588879
"9",401,0.0263503237911209,0.0891906491124246,-0.0531679631531006,0.0175859233786468,-0.0209429648239166,0.0521348744077841,-0.04446038921742,0.0252059949270915,8.02974845951658e-11,0.00764227142081684,0.0014415636979138,0.00289117981379287
"10",451,0.0144974392314907,0.198498286845279,-0.123502804271993,0.0753856902738335,-0.0835649082509917,0.122866267440259,-0.12789908220293,0.0793263375817332,3.15933722923313e-09,0.0614913337340582,0.00919496639126045,0.0184086135169862
"11",501,0.0249383196787676,0.137258879460205,-0.0693457814722933,0.0683267811255064,-0.0689995183347492,0.0677010000017617,-0.0729931882669916,0.0570500447938684,1.69074599918059e-09,0.0249145653385848,0.00861052891909242,0.0175418206265874
"12",551,0.170495487429434,0.280802728128037,-0.0605906356800006,0.0692168593232054,-0.0553904118423816,0.0694382905203383,-0.0876794823197997,0.0392562904671649,1.33374890048657e-08,0.0250255066082789,0.0042152173263149,0.0085622600903522
"13",601,0.206215258935117,0.388541841166443,-0.0808404980634805,0.127505323122023,-0.0932706080347998,0.111485820263624,-0.143564432139101,0.0705247892910847,4.33234936192154e-08,0.0673548282308302,0.0083361464031449,0.0166598327198069
"14",651,0.0226879885594826,0.142598354403162,-0.0808268423425034,0.0543318630516296,-0.0724636498234759,0.067728946742136,-0.0605831101638614,0.0791943427611841,2.54460096372087e-10,0.0231136533378142,0.013977212667517,0.028388350415885
"15",701,0.175405608904839,0.235553562699351,-0.0456454874729388,0.0295801352840499,-0.0458263588225236,0.0287040710245492,-0.0378584987047361,0.038014621444745,2.94674244421362e-10,0.00710785212785923,0.00285154437639726,0.00576421310073885
"16",751,0.170130471204175,0.20863065382855,-0.0204716859589098,0.0258126268236083,-0.0224523193319328,0.0245446178450948,-0.0299608256027568,0.0164797696452297,5.80999373552991e-10,0.00298457790714955,0.000747163183013942,0.00149468388081037
"17",801,-0.0342199136503041,0.144178106340405,-0.114517873182194,0.0948076524946373,-0.0846077525566216,0.11984759621555,-0.111724039423279,0.0946266925097916,9.14793069277944e-10,0.0551934980235817,0.025085790760712,0.0502274346723302
"18",851,0.0510340375622036,0.147604897181736,-0.056109277807991,0.059899748681346,-0.0507116411608877,0.0672547124013363,-0.0621711087733274,0.0518532439600676,1.60397960356208e-09,0.0183602372287811,0.00451259988737087,0.00924157846653044
"19",901,0.125425224767241,0.340994456499175,-0.129269004995876,0.120683623565128,-0.100244696292066,0.140038590296172,-0.15098229063733,0.0882991748294444,3.7413127827419e-08,0.0792264681925492,0.0328146071460372,0.0663395720762116
"20",951,0.0408520460805448,0.185808934940724,-0.0972847473303773,0.078329049909371,-0.0542254441097612,0.117295215866761,-0.0993856996501563,0.0675783368205884,9.15836662500789e-08,0.0407773500751542,0.00958320707455234,0.0195685263319387
"21",1001,0.0627096028620144,0.302712365490152,-0.122422950789769,0.155684646771988,-0.0852781225189574,0.188987755129347,-0.157011917224736,0.109353274317982,2.42136583043144e-09,0.105201076636269,0.0201339166942672,0.0411921672010538
"22",1051,0.14817443494394,0.270117526451941,-0.0575458631792571,0.0862918494385667,-0.0752984329883475,0.0665031114185695,-0.0773828586316085,0.0643843541038223,4.87457916534144e-12,0.0211080839118069,0.0157061388376383,0.0314436107059876
"23",1101,0.14880331241875,0.258198411247577,-0.0882805343280779,0.03996287866903,-0.0793369175371481,0.0564165821342613,-0.0709906931151636,0.0617123533884296,1.96175393141039e-09,0.0220312955207049,0.0118789625504339,0.0239677593567674
