"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.423438624878842,1,-2.45181366234998,0.00486081008732323
"EggMass",1,1,0.585055581495002,0,0.0171422233560679,0.0050185055366799
"nTreatment",1,1,0.533047416274362,1,0.146989913725702,0.00256340121616049
"PercDev",1,1,0.254163668185995,1,0.814409329069348,0.00654885901075969
"Specieschlorocyanus",1,1,0.893923342751843,0,0.00471787880795008,0.0020693798700421
"Speciescristatellus",1,1,0.80333857224262,1,-0.37874365401937,0.00202535059664671
"Speciescybotes",1,1,0.201787676650244,1,0.612937327410921,0.00190379208541542
"Speciesdistichus",1,1,0.489789274981915,0,0.00817924179915759,0.00206637364782607
"Speciesequestris",1,1,0.616345040592443,1,1.82040849961186,0.011709975393138
"Speciessagrei",1,1,0.452536657618955,1,-0.112298375471422,0.00203297952592905
"nTreatment:Specieschlorocyanus",1,1,0.878761958690381,1,-0.237409530321754,0.00371082906161088
"nTreatment:Speciescristatellus",1,1,0.793357894698705,1,0.162621546004753,0.00360504257943079
"nTreatment:Speciescybotes",1,1,0.693033511157393,1,0.206436118723936,0.00353328202709232
"nTreatment:Speciesdistichus",1,1,0.0848813487150253,1,0.100958879323148,0.00371258080643272
"nTreatment:Speciesequestris",1,1,0.743643441650353,1,-0.799097697597551,0.00370156975057255
"nTreatment:Speciessagrei",1,1,0.960856494687567,1,-0.0398554271699822,0.00349532911498506
"(Intercept).Cage.1",1,1,0.461036457181166,0,-0.00749261105972643,0.00238632345960752
"(Intercept).Cage.10",1,1,0.588962513903579,0,0.00733319995410967,0.00178746404788684
"(Intercept).Cage.11",1,1,0.48086065700333,1,0.0477165424222435,0.00218097408460992
"(Intercept).Cage.12",1,1,0.511434305017787,0,0.00580056936518572,0.00187921145782763
"(Intercept).Cage.13",1,1,0.837883488909307,0,-0.00825362305020719,0.00167949273642441
"(Intercept).Cage.14",1,1,0.864521202044634,0,0.0145243301738841,0.00190427915111066
"(Intercept).Cage.15",1,1,0.877825705834234,1,-0.0292834488501454,0.00188503598837276
"(Intercept).Cage.16",1,1,0.53718265448683,1,0.020616905513295,0.0020380025486914
"(Intercept).Cage.17",1,1,0.531630870132393,1,-0.0576909305051571,0.00204083256643807
"(Intercept).Cage.18",1,1,0.941708886363093,0,-0.00229937357700089,0.00223247075027629
"(Intercept).Cage.19",1,1,0.155775320324487,1,0.0345091738135759,0.00221840040620395
"(Intercept).Cage.2",1,1,0.509845290536969,1,0.0554558498805723,0.00189736481936065
"(Intercept).Cage.20",1,1,0.333584834805869,1,-0.0236122803917141,0.00206668455592058
"(Intercept).Cage.21",1,1,0.111797799301905,0,-0.0201469337417371,0.00249879590783705
"(Intercept).Cage.22",1,1,0.614285230938912,1,-0.138847837019635,0.00216753084819061
"(Intercept).Cage.23",1,1,0.109174921415847,1,-0.0865588031133971,0.00211608092421808
"(Intercept).Cage.24",1,1,0.919257186321727,1,0.124640203505745,0.00224530835986971
"(Intercept).Cage.25",1,1,0.0590402867745875,1,0.0367482842944914,0.0022899996138482
