"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.0111431406186639,4.54584531784467e-08,0.0273484001873654,861.402419810133
"2",51,0.0142286150877762,1.68864585861703e-11,0.0278092479722383,1800
"3",101,0.0131624326132239,1.93835455123085e-10,0.0310569816128306,1800
"4",151,0.00277250384103102,2.50031041789592e-14,0.00900491188599177,1800
"5",201,0.00189793520062146,3.23723287266408e-12,0.00358622496799756,1800
"6",251,0.0302079951989387,2.85579257676177e-08,0.0890591155962794,1800
"7",301,0.0270827956102025,6.47377459119901e-09,0.056420763456626,1800
"8",351,0.00612597148719154,2.09391350435359e-09,0.0204036147175322,1800
"9",401,0.00978939658796873,1.39886224376058e-10,0.0280978193395926,1316.52072872719
"10",451,0.00882449372561646,5.48772861535789e-11,0.0198867881807208,1800
"11",501,0.0664534572096706,4.13359061791776e-10,0.184826510519676,1571.38040400894
"12",551,0.0262257042526502,8.67805556051478e-11,0.0638234406177563,1800
"13",601,0.00933021939522953,3.09192955869497e-09,0.0202499053911573,1800
"14",651,0.000759118642654816,1.05523801713807e-09,0.00207025825096959,1800
"15",701,0.0099553362661861,1.25828770273808e-09,0.0238235840953955,1800
"16",751,0.0368091839511595,7.45371411527254e-10,0.0952428928501154,1800
"17",801,0.0209349573649518,1.34025038538053e-08,0.0697727044003117,1667.77438930576
"18",851,0.0305704386009148,4.37394461055391e-09,0.0632308199467385,1800
"19",901,0.0802361545026253,1.12470380674727e-08,0.251238620449268,1800
"20",951,0.00547428057792585,8.93343253789134e-10,0.0154429772258881,1800
"21",1001,0.00419016848001386,2.29459923706231e-14,0.0128390753266224,1800
"22",1051,0.0136205122011005,2.34875543753736e-08,0.0356075477094131,1800
"23",1101,0.0126295602647022,1.36490118539655e-09,0.0470158668456896,1800
"24",1151,0.0158032314245749,5.71877789704399e-08,0.045693766782999,1800
"25",1201,0.0120759197501725,1.50104911049338e-08,0.0334566155704318,1434.38357028224
"26",1251,0.0123017493922574,2.00177791794472e-09,0.0243830327349936,1800
"27",1301,0.00585602041129028,2.56080004733143e-11,0.00874421652221423,955.761255959815
"28",1351,0.0306837535924141,2.72421286984684e-09,0.0669121677938706,1800
"29",1401,0.00666146020858071,1.71788612143114e-09,0.0227282227619918,1800
"30",1451,0.0100949734551151,2.17138538221628e-10,0.0295692239730747,1800
"31",1501,0.00683860952485629,1.90272475869534e-10,0.0223984622225142,1800
"32",1551,0.0160138312451026,1.00809496107945e-08,0.0392591602032279,1800
"33",1601,0.0270501487897726,1.9805625376523e-09,0.0544800760467013,1800
"34",1651,0.0437619354966684,3.70937659427806e-08,0.116047896269101,1800
"35",1701,0.00367944618353367,2.65419322714333e-08,0.0101297772974302,1487.57976834141
"36",1751,0.0451024491432424,2.05500815114643e-09,0.115534194702962,1800
"37",1801,0.015113925846396,1.33452013144875e-10,0.0446709649548027,1800
"38",1851,0.0248479325772962,1.2742827381141e-12,0.0556308525103792,1800
"39",1901,0.00691472968178245,1.84616092055242e-09,0.0191485110767687,1473.20451149647
"40",1951,0.0141737219208134,1.46888309159034e-08,0.0462041454418735,1800
"41",2001,0.114365631214685,3.73184559850523e-07,0.324201470941258,1800
"42",2051,0.00182094160605445,1.50831132661538e-11,0.00422150966242844,1800
"43",2101,0.0138590038268513,2.38646721977982e-08,0.0340935027092196,1517.99381801224
"44",2151,0.0240527833296363,2.739930748529e-09,0.0736837237683803,1800
"45",2201,0.0247412481385522,3.42977415732431e-08,0.0763448108997133,1800
"46",2251,0.0331960926749589,3.75809689013038e-06,0.0794219631934151,1800
"47",2301,0.0755977723734557,3.01421626603867e-08,0.205325568726897,1800
"48",2351,0.00658481450430099,5.57303940776991e-13,0.0214390985574304,1800
"49",2401,0.0868658730549617,1.32228462656289e-07,0.194351357349195,1579.22848018206
"50",2451,0.0230598211890822,1.64876203319831e-08,0.0681812029807103,1800
"51",2501,0.0484122798780448,8.21302737615356e-08,0.0915402305435346,692.591787564758
"52",2551,0.0470123468704547,5.10477763650797e-08,0.125453237121815,1800
"53",2601,0.0117584626617872,8.87579499448332e-09,0.0231349116549303,1292.17753495001
"54",2651,0.00794641531692507,1.38055056246472e-09,0.0201706560426188,1335.2495861516
"55",2701,0.0154795521874574,6.18786532271741e-09,0.0437755729355423,1800
"56",2751,0.00324411330175661,1.04225665679759e-09,0.0109791461268712,1800
"57",2801,0.00967806914627939,2.32642706175437e-10,0.0236295526593516,1800
"58",2851,0.0345011836174917,4.8112312502656e-09,0.0943081588821208,1800
"59",2901,0.00718695724736059,1.90221408062317e-09,0.0229527315302163,1426.61076418228
"60",2951,0.0862941457727776,1.1796331448537e-11,0.219101999023625,1800
"61",3001,0.00346947537542395,1.8740931634526e-09,0.00871483792556356,1444.5949569989
"62",3051,0.0717336936150659,3.01088269420996e-05,0.195341670547542,1800
"63",3101,0.0222958421374724,1.28012157171844e-06,0.0614628450201089,1586.73882130861
"64",3151,0.00586646613898709,1.19979229451736e-11,0.0181653925984574,1800
"65",3201,0.0426247673219673,1.19103405659142e-09,0.124810979772393,1446.03403456458
"66",3251,0.0436330190516598,8.98233665575653e-08,0.121560090383824,1593.24971575416
"67",3301,0.0251113695770869,2.38030176612042e-09,0.0552054560095624,1800
"68",3351,0.0561581237252586,1.99904556193792e-08,0.1624132189393,1800
"69",3401,0.0108617614846614,2.31665357898111e-09,0.0292567727265469,1279.51988737958
"70",3451,0.0560937373924583,1.23107251479982e-09,0.122488981230046,1800
"71",3501,0.0782440315306712,1.55732542778695e-07,0.268080482220911,1800
"72",3551,0.00182256439727244,1.55436183890437e-10,0.00591205442002887,1800
"73",3601,0.00204017693703628,2.77064502334114e-10,0.00687520345698313,1800
"74",3651,0.0149820868193602,1.47411270745191e-10,0.0318151308124979,1800
"75",3701,0.0182491908372797,1.86817367735128e-09,0.0388175449214532,1800
"76",3751,0.00212976860471592,1.1553132739518e-10,0.00742021617130425,1800
"77",3801,0.0161459871323396,7.61632420273724e-09,0.038525957867196,1631.7196688264
"78",3851,0.00674969359545132,1.00329796466944e-08,0.0220183110428768,1800
"79",3901,0.00642376072055848,3.45683849170294e-10,0.0215280591163407,1800
"80",3951,0.0460473979707607,8.19142857716717e-09,0.0738051416988395,1800
"81",4001,0.00976896130676921,3.57066874417651e-09,0.0224932856486237,1800
"82",4051,0.0424195849837033,4.04399185343892e-10,0.132960999514049,1800
"83",4101,0.0146641246017936,1.17605671161394e-07,0.0375232888798163,1670.25538940506
"84",4151,0.031297506696803,2.33573461992201e-07,0.0677785697386834,1800
"85",4201,0.0293912362085195,2.19976507757603e-09,0.0677047741412562,1800
"86",4251,0.00950164660793237,1.03629032867487e-09,0.0243884612603284,1800
"87",4301,0.0101469278252276,4.07084945795435e-10,0.0353089165249703,1800
"88",4351,0.0559288918668144,1.28776136624853e-12,0.12593379382795,1800
"89",4401,0.016117495181748,3.9109708092786e-11,0.0388197875546565,1800
"90",4451,0.0202664906029655,8.99155584577101e-10,0.051266292512298,1494.2029160387
"91",4501,0.0194218754860633,3.02845050171527e-09,0.0543617608352695,1800
"92",4551,0.00372113873137344,3.24477349596969e-09,0.00856167091729196,1457.99705686827
"93",4601,0.00528218564214887,2.31214864155352e-10,0.0145780209490266,1800
"94",4651,0.011312415914271,2.03333142557853e-10,0.0300618821443842,1800
"95",4701,0.0109513034241603,1.15408927087421e-09,0.037234754824234,1800
"96",4751,0.00545634597935237,1.72452154744317e-11,0.0182065873161659,1352.39490805253
"97",4801,0.00756616315070892,1.22317145657018e-10,0.0181565515442828,1800
"98",4851,0.0246422112452093,4.98670500907794e-09,0.0532896715402933,1800
"99",4901,0.0581594097186818,1.66661300193545e-08,0.168210236351285,1800
"100",4951,0.00458916025960058,1.70847042411237e-09,0.0100491186070537,1800
