"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0458913327395841,-1.31015792973631,1.3692055629399,0.0912649699716788,0.86412
"PreClim",-0.0320093068771024,-1.39602273300989,1.34183820463659,-0.00865224956196187,0.95178
"InvClim",-0.0493882435030942,-1.36936038122803,1.32172324524436,-0.0200481540498814,0.88634
"InvTime",0.0327909719951947,-1.3714373356197,1.44138996265247,0.000689955496252281,0.96538
"Phylo",1.37204060466381,2.5266997942625e-10,5.19690302932024,-0.0158925083642398,5e-06
"Spp",1.42127134836245,4.0468975426864e-10,5.8123063004732,-0.0176916151043356,5e-06
"units",0.0189617249099004,2.50350017531066e-05,0.0478333769245077,0.000378934541493594,5e-06
"h2phylo",0.489290011165303,5.26572589565539e-10,0.978729375715879,0.00180497967896718,5e-06
"s2",0.477700209340056,1.14483345957081e-09,0.978921332716452,0.00177092332113598,5e-06
"CVphylo",3.22522266428241,-20.296833097302,23.0799748790931,-266.868681218177,0.86412
"CVspp",2.98365208468036,-21.4535210931712,22.4013101833818,224.654150052531,0.86412
"CVresid",0.446872381461237,-5.03189769438214,5.11770203628809,45.3489052822824,0.86412
