"","Iteration","PhyloDIC","PolyDIC","Diff"
"1",1,-63.1464244872201,-63.138713318984,-0.00771116823615614
"2",51,-25.9808823113154,-25.9682901038764,-0.012592207438999
"3",101,-33.9335355838249,-33.9232905548491,-0.0102450289758593
"4",151,-295.350348067677,-295.351597279459,0.00124921178178283
"5",201,-67.0658657328294,-67.0590645517509,-0.00680118107857197
"6",251,-11.2626807670357,-11.2476992089408,-0.0149815580948562
"7",301,-51.5003936948756,-51.4922794693478,-0.00811422552774843
"8",351,-211.879437108526,-211.8791491894,-0.000287919126151337
"9",401,-247.782988715255,-247.783150852324,0.000162137068571155
"10",451,-95.6665071819743,-95.6608393352362,-0.00566784673803511
"11",501,-105.414233480407,-105.41051872357,-0.00371475683607514
"12",551,-150.96844998297,-150.965932524594,-0.00251745837593376
"13",601,-104.044195549629,-104.040592820359,-0.0036027292695735
"14",651,-62.4532384610447,-62.4446518922326,-0.0085865688121487
"15",701,-185.307191567671,-185.306026454122,-0.00116511354943327
"16",751,-301.665607110853,-301.66715767542,0.00155056456719649
"17",801,-34.7541787495322,-34.7435468142802,-0.0106319352520146
"18",851,-168.063182617651,-168.061072770287,-0.00210984736423825
"19",901,-7.26616637818465,-7.25120209041155,-0.0149642877731004
"20",951,-106.814401420842,-106.808824498886,-0.00557692195560833
"21",1001,-41.3544583759104,-41.343492369744,-0.0109660061664769
"22",1051,-60.4662598931609,-60.4604216242445,-0.00583826891639205
"23",1101,-80.3535956054012,-80.348180944422,-0.00541466097922694
"24",1151,-151.299117472669,-151.297091771033,-0.00202570163583005
"25",1201,-37.2479148128004,-37.2391167181771,-0.00879809462334435
"26",1251,-76.366524004628,-76.3610710860567,-0.0054529185712795
"27",1301,-27.5493829775484,-27.5398870191206,-0.00949595842784845
"28",1351,-30.9744024842576,-30.9589982050655,-0.0154042791920617
"29",1401,-156.236534320647,-156.234050978413,-0.00248334223385882
"30",1451,-1.63945042274658,-1.62181445940616,-0.0176359633404246
"31",1501,-119.78779122318,-119.7855720675,-0.00221915567922792
"32",1551,-37.6813574507362,-37.6696744760487,-0.011682974687524
"33",1601,-163.16940603477,-163.167409401015,-0.00199663375522618
"34",1651,-84.4462228642105,-84.4414584717706,-0.00476439243990967
"35",1701,-195.575368877721,-195.574384960109,-0.000983917611506513
"36",1751,-81.4706934578263,-81.4645628108874,-0.00613064693887111
"37",1801,-108.582032726552,-108.577047188725,-0.00498553782672673
"38",1851,-4.3729580838534,-4.3572236080225,-0.0157344758309002
"39",1901,-147.824385521446,-147.821498835653,-0.0028866857934986
"40",1951,-117.474374233957,-117.470901995098,-0.00347223885898984
"41",2001,-349.44947151661,-349.45342275265,0.00395123603976799
"42",2051,-344.103270706936,-344.10708941099,0.00381870405425389
"43",2101,-32.9594766631326,-32.9492144751532,-0.0102621879793787
"44",2151,-136.100749885049,-136.098151581837,-0.00259830321201093
"45",2201,-99.9170711661854,-99.9124677782627,-0.00460338792267123
"46",2251,-184.041302624437,-184.040001047673,-0.00130157676434806
"47",2301,15.4311644908922,15.4479672758219,-0.0168027849297303
"48",2351,-53.5509715303886,-53.5397213454496,-0.0112501849389446
"49",2401,-144.654122347154,-144.652089887516,-0.00203245963732002
"50",2451,-78.082989017989,-78.0770652726464,-0.0059237453425709
"51",2501,-49.7097936034406,-49.6960206395861,-0.0137729638545352
"52",2551,-434.182898241812,-434.195680412901,0.0127821710881335
"53",2601,-23.2380520019297,-23.2285898460839,-0.00946215584577459
"54",2651,-135.956240634167,-135.953332040091,-0.00290859407581934
"55",2701,-212.989192026006,-212.988738883034,-0.000453142972730802
"56",2751,-123.344499508234,-123.341963832454,-0.00253567577962599
"57",2801,-551.703564490353,-551.745133775519,0.0415692851660197
"58",2851,-71.7507355300434,-71.7466075914444,-0.00412793859899807
"59",2901,7.52387269114207,7.54613383133902,-0.0222611401969539
"60",2951,-17.1752809286923,-17.167528947569,-0.00775198112333442
"61",3001,-92.366815401507,-92.3619417362142,-0.00487366529286248
"62",3051,-24.9478899283122,-24.9332446964059,-0.0146452319062433
"63",3101,-66.7198224463275,-66.714600071107,-0.00522237522048385
"64",3151,-95.744350427163,-95.7382601893799,-0.00609023778316953
"65",3201,-21.6032985499979,-21.5910430687477,-0.0122554812501221
"66",3251,-241.497858651388,-241.497773472061,-8.51793267884204e-05
"67",3301,-71.5363820162543,-71.5304279881392,-0.00595402811512713
"68",3351,-94.2585446456397,-94.2542304867338,-0.00431415890587061
"69",3401,-85.4692193067782,-85.4633663368547,-0.00585296992350948
"70",3451,-64.9806879592329,-64.9708953498818,-0.00979260935108073
"71",3501,-74.5557423357314,-74.5485216763264,-0.00722065940496464
"72",3551,-82.4541924116972,-82.4468519785683,-0.00734043312887422
"73",3601,-122.693848135939,-122.690538479678,-0.00330965626113766
"74",3651,-159.79859874386,-159.796726671044,-0.00187207281584278
"75",3701,-26.3480286810883,-26.3384479029011,-0.00958077818716419
"76",3751,-40.1494864021271,-40.1379643904711,-0.0115220116559556
"77",3801,-50.7551986643765,-50.7455910495747,-0.00960761480179428
"78",3851,-110.076011835414,-110.073043540831,-0.00296829458334003
"79",3901,-70.2667160834516,-70.2588315167292,-0.00788456672236748
"80",3951,-77.3169642310837,-77.3105222362597,-0.00644199482401575
"81",4001,-104.011601049173,-104.00800904792,-0.00359200125350867
"82",4051,-107.355067857586,-107.347960780287,-0.00710707729908222
"83",4101,-221.73097893696,-221.730454005963,-0.000524930996760986
"84",4151,-82.271012744675,-82.2673293935283,-0.00368335114674778
"85",4201,-288.987392180172,-288.988628750039,0.00123656986727383
"86",4251,-28.5934813081066,-28.5804017067702,-0.0130796013364716
"87",4301,-76.6588761616215,-76.6518553873561,-0.00702077426542758
"88",4351,-96.9782960069251,-96.9729494825785,-0.00534652434659222
"89",4401,-115.714752270606,-115.710817453249,-0.00393481735770251
"90",4451,-167.71258552948,-167.710533685583,-0.00205184389727719
"91",4501,-63.7834927409635,-63.7765083403005,-0.00698440066298645
"92",4551,-19.3124650106915,-19.2988327071,-0.0136323035914145
"93",4601,-115.535315597556,-115.531718607847,-0.00359698970893874
"94",4651,-26.2909704078877,-26.2797011421224,-0.0112692657653923
"95",4701,-63.5579851088031,-63.5515939606962,-0.00639114810688568
"96",4751,-96.6290513787362,-96.6254454229181,-0.00360595581818757
"97",4801,-70.9386769755412,-70.9320971309034,-0.00657984463779826
"98",4851,-61.7517550984586,-61.7448275562987,-0.00692754215994285
"99",4901,-11.8327891812902,-11.821908052803,-0.0108811284871955
"100",4951,-51.4987181485747,-51.4918196498371,-0.0068984987375984
