,post.mean,lower.HPD.95,upper.HPD.95,post.mode,pMCMC
Intercept,0.112520025,-0.1999343,0.403685143,0.076808653,0.27927
PreClim,-0.004690353,-0.313821552,0.285227409,0.004107977,0.88752
InvClim,0.004906805,-0.272354893,0.289355929,0.000108254,0.86318
InvTime,-0.001637519,-0.282393492,0.26830787,-0.007529077,0.93844
Phylo,0.096120477,3.06E-14,0.288052066,-0.000320581,5.00E-06
Spp,0.12762267,3.93E-13,0.286593038,-0.000311374,5.00E-06
units,0.020627783,0.000241289,0.051360112,0.002131399,5.00E-06
h2phylo,0.226771386,1.66E-11,0.794862035,0.00212523,5.00E-06
s2,0.224605436,2.02E-11,0.788141759,0.002146816,5.00E-06
CVphylo,-2.642521912,-6.983682398,7.802975691,27.13087378,0.27927
CVspp,0.051419884,-6.88766717,7.788815778,-30.84928603,0.27927
CVresid,-4.745691322,-8.346509356,9.964040119,886.4588655,0.27927
