"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.812667787274733,1,0.485862675332668,1,0.746520095616933,1,0.752687579458795,0,0.146248249791153,0,-0.763587241525261,0,1.82403462703044,0,-2.70474700526005
"2",51,1,0.115492313498111,1,0.782761669171256,1,0.604058984422807,1,0.262979185738518,0,0.14442704575185,0,-1.20156761073727,0,0.393222893294757,0,2.43916366735578
"3",101,1,0.116688345083723,1,0.818261376461729,1,0.970327240864983,1,0.801389736714626,1,0.0714500564259861,0,0.299200534149342,0,-0.310174972244382,0,0.167459893948807
"4",151,1,0.871706125041514,1,0.261350114101136,1,0.66187547319137,1,0.356457523794493,1,0.0626020613751516,0,-1.52636087247595,0,0.297637020123975,0,-1.0428882478016
"5",201,1,0.494833888576816,1,0.645299400754592,1,0.953599646746496,1,0.504241247714497,0,0.524422430275251,0,-0.807062342239967,0,-0.992677314731845,0,-0.501574329685467
"6",251,1,0.458618924336725,1,0.760703168454503,1,0.608828895331867,1,0.605342077538231,0,-0.263921772052907,0,-6.84144839275232,0,-0.385424745968044,0,0.278555391628672
"7",301,1,0.560179754942338,1,0.863621539094209,1,0.87531737967137,1,0.280113506081816,0,8.01386936908243,0,1.82441969194464,0,27.5611262132504,0,3.0601209874591
"8",351,1,0.0972593338626528,1,0.951624776371613,1,0.991834970619872,1,0.0888920001804915,1,0.0471780401468838,0,-0.320571964475826,0,0.325857808528063,0,-1.14571412084024
"9",401,1,0.0628505220492152,1,0.958908837768833,1,0.890751227658074,1,0.154942664580939,1,0.0550576746873146,0,-0.304409931363496,0,0.324238053823688,0,-0.40201991142855
"10",451,1,0.253545308671532,1,0.977948225757781,1,0.96227591869542,1,0.0881828419266204,1,0.0915155035271023,0,-0.640038654975178,0,-4.68846349497827,0,-0.985469786873561
"11",501,1,0.39109694010911,1,0.408520992750173,1,0.141682627406957,1,0.909387178901792,1,0.0908448937609073,0,1.8525583916871,0,-0.649543153936045,0,0.886385703069003
"12",551,1,0.73271787661164,1,0.999994601163506,1,0.656673300141181,1,0.544615792271002,1,0.0421373107700866,0,1.11938812772743,0,4.08146713464078,0,-0.225820440483978
"13",601,1,0.721227418669528,1,0.335839406170557,1,0.580966194608839,1,0.380847476857038,1,0.0351003393356695,0,0.401792045769386,0,1.71535798785848,0,-0.309352471749556
"14",651,1,0.607858276545184,1,0.21161870476129,1,0.799611305873223,1,0.489465486489174,0,0.150678262564752,0,-0.719393345657737,0,-1.16911383217756,0,0.388939581332851
"15",701,1,0.285520955612605,1,0.864627132630515,1,0.0795254168779744,1,0.266152236154182,1,0.0183739010539311,0,-0.705887664093383,0,-0.260388307225179,0,0.481752519867684
"16",751,1,0.484982272602676,1,0.999328461399559,1,0.853523586682153,1,0.859376856761303,1,0.0155835514494229,0,0.613227664232472,0,-1.46196938889571,0,-0.536335016985892
"17",801,1,0.104915952624605,1,0.532975989833991,1,0.156381090858334,1,0.223799733257928,0,0.221009552487488,0,-1.71597989305831,0,1.13735231835081,0,-0.973445742144105
"18",851,1,0.371752413689675,1,0.981604080970127,1,0.596610210883577,1,0.837644182177156,1,0.0685987098932519,0,1.45511336800086,0,9.2810456082851,0,-5.19929031123254
"19",901,1,0.148396018021164,1,0.938077060005792,1,0.50337555460363,1,0.570795706255475,1,0.047656804241523,0,3.19276601102259,0,0.990878741462908,0,-0.292748038655378
"20",951,1,0.548061693071103,1,0.942977355978455,1,0.478613276165488,1,0.902744747313238,1,0.0694941340712681,0,-0.66225477707489,0,0.418887980775167,0,-0.820870722884343
"21",1001,1,0.512923458906881,1,0.895214386332894,1,0.996538994591792,1,0.553644284145755,1,0.0593831836164713,0,3.46999154927277,0,0.256938647483738,0,-0.469327725657712
"22",1051,1,0.177817108234374,1,0.227681066115429,1,0.635144246580223,1,0.234895934308575,1,0.0374100231058698,0,0.375382967135527,0,-0.876318029640059,0,-0.607667072905419
"23",1101,1,0.571297376443881,1,0.372539555625439,1,0.377869999321808,1,0.850049494782288,1,0.0313934346335617,0,-0.34516313583348,0,-0.459807100521843,0,0.960921503964984
"24",1151,1,0.189507460074859,1,0.964449473968578,1,0.952017491164542,1,0.0926759704887326,1,0.0296521511827792,0,0.329969603052107,0,-0.897960448933777,0,0.507468194055095
"25",1201,1,0.330145102949731,1,0.0930105867896942,1,0.728422721252996,1,0.25115319349063,1,0.0692923736293044,0,0.216532437199938,0,11.6352307237566,0,-1.41746283226665
"26",1251,1,0.615610956227022,1,0.232076918218135,1,0.383299757474753,1,0.438669899161662,1,0.0916676605909583,0,-0.226848820290982,0,0.297663844530295,0,2.72813772422879
"27",1301,1,0.257485114082447,1,0.213044625609565,1,0.689162881617814,1,0.870881176940188,1,0.0449336702146538,0,-0.776872096220705,0,-0.435242014567465,0,0.494310321615002
"28",1351,1,0.173698207985365,1,0.601290082992953,1,0.865624515256586,1,0.237624994616686,1,0.0561124569537447,0,0.818055186336734,0,1.66267855091858,0,-0.461988307873008
"29",1401,1,0.0573333192702632,1,0.482686679341401,1,0.695151564429545,1,0.24661843921475,1,0.018865434331576,0,0.504885259619199,0,-0.499297426836255,0,-4.28559476813349
"30",1451,1,0.481573599940584,1,0.56383378990368,1,0.792310978095536,1,0.750650354411937,0,-2.75285387067037,0,-0.208513833225742,0,0.6857474493501,0,0.547538687671748
"31",1501,1,0.11550399399772,1,0.886219219956964,1,0.765850024514533,1,0.399085105070754,1,0.0387834630134808,0,-5.47826153771127,0,0.517873557224113,0,-0.429057776338189
"32",1551,1,0.247494512191145,1,0.81097934958437,1,0.819824310741723,1,0.647340475342477,1,0.0804183957077291,0,-0.374067975165588,0,0.680650083808704,0,-1.50461249084027
"33",1601,1,0.200274889054187,1,0.993994865162993,1,0.883345420146793,1,0.643504415370448,1,0.0363183865686567,0,-11.8211799598508,0,0.567851435098694,0,-0.858073108941501
"34",1651,1,0.609675959637682,1,0.134420049760191,1,0.680764803207661,1,0.527488895108128,0,0.119477808095395,0,-0.222579668093328,0,0.15298864598582,0,-0.592939572020671
"35",1701,1,0.218053486715091,1,0.992634650794574,1,0.911519521397009,1,0.519184127654064,1,0.0510568784703813,0,14.9423816613313,0,3.01025844800429,0,-0.403837317532176
"36",1751,1,0.259397592351604,1,0.871649398070482,1,0.832165266023724,1,0.827577788480296,0,0.108202645086214,0,1.01160669632657,0,0.80940267888958,0,-0.259316509043191
"37",1801,1,0.0766902245106621,1,0.77223335370846,1,0.307089326482206,1,0.112509017577785,1,0.0929255850779686,0,-0.609164315725602,0,0.392104830105989,0,40.4150591796031
"38",1851,1,0.194763382090332,1,0.969614131195526,1,0.762987662692644,1,0.300726224498934,0,0.158899791014285,0,41.5723221757608,0,-2.02099024136887,0,1.17625040925145
"39",1901,1,0.459705759408028,1,0.968126382796658,1,0.831839574412638,1,0.117351120508194,1,0.0526512573932364,0,-0.325967343823952,0,0.25788531602237,0,-0.326915246555284
"40",1951,1,0.0965176665482195,1,0.281143497948283,1,0.39828557083102,1,0.230670757186775,1,0.064297745101416,0,0.722575316913105,0,-0.446231559192207,0,0.253809816794359
"41",2001,1,0.269760960454889,1,0.609690793372066,1,0.45659815632744,1,0.23094004274815,1,0.0364813951664734,0,-0.380480254140775,0,0.357460114356075,0,-1.05742538185051
"42",2051,1,0.502914226094476,1,0.79985730832549,1,0.448162085109521,1,0.375559975789635,1,0.00389229928429707,0,-2.78829553126087,0,0.436147851361342,0,1.63043562737331
"43",2101,1,0.599330512218308,1,0.108768144650418,1,0.933170339682199,1,0.909856851238717,1,0.0646005500317241,0,4.77363393186298,0,-0.405549572398151,0,-0.173227026275336
"44",2151,1,0.0971487880508914,1,0.0707501279014278,1,0.475274252876316,1,0.132608611008125,1,0.0990103138857742,0,1.15659810504366,0,0.678833958877727,0,-1.39839150179827
"45",2201,1,0.174458901824611,1,0.119072778674006,1,0.241955174193967,1,0.208987980178294,0,0.116806213963441,0,-0.611196559192957,0,0.358830212990872,0,0.427679086905965
"46",2251,1,0.509544939023355,1,0.881554044819295,1,0.993394481116828,1,0.676871517779039,1,0.0309163902757727,0,2.63513723694844,0,1.40768565729628,0,-0.289392787811511
"47",2301,1,0.379285463532365,1,0.370983624422083,1,0.374751220136273,1,0.0773306578857001,0,0.103178398826507,0,-0.457103748840781,0,0.259607157871705,0,-0.326573629875889
"48",2351,1,0.396777114821903,1,0.445410087121218,1,0.387635047283774,1,0.496625703350467,0,-1.00793058590699,0,-2.11258088440257,0,0.439915839981735,0,0.199608877686256
"49",2401,1,0.0677870528218866,1,0.781523221517695,1,0.877439469656097,1,0.0814257411855336,1,0.0661796381198388,0,1.44195855999751,0,-0.740267633169007,0,0.745809624029863
"50",2451,1,0.397877546290311,1,0.90178109537311,1,0.666383331308733,1,0.681792610193993,0,0.679876597179815,0,-1.00050330603075,0,-2.3579467063792,0,0.331117705943476
"51",2501,1,0.697347209734443,1,0.658069268362665,1,0.556240115695585,1,0.560418920744076,0,0.110156465949301,0,-3.85244614676935,0,0.484940851171313,0,-0.413285688243128
"52",2551,1,0.674141108429455,1,0.920787650081845,1,0.818355548449162,1,0.343086440652908,1,0.0907025207612436,0,-0.431247889004039,0,0.315598152920696,0,-0.800576931466737
"53",2601,1,0.565840902766128,1,0.0698661464686968,1,0.278374137577786,1,0.494082137719537,0,-1.4793938210334,0,1.73785918651258,0,-0.195924466381577,0,0.760281622085607
"54",2651,1,0.391192713094085,1,0.19448282702642,1,0.550790868769778,1,0.539705379013004,1,0.0554317264733368,0,-0.326342932651029,0,0.17182436039501,0,-0.251943743079274
"55",2701,1,0.256194839673013,1,0.818448239355428,1,0.891496180308663,1,0.280650840440717,1,0.0311029007889735,0,-0.467139731644089,0,0.440559790929847,0,3.64739978548883
